name|set|set_code|type|power|toughness|loyalty|manacost|converted_manacost|artist|flavor|color|generated_mana|number|rarity|ruling|variation|ability|watermark|name_FR
Consuming Aberration|Prerelease Events|PRE|Creature — Horror|*|*||{3}{U}{B}|5|Volkan Baga||UB||60|R|£1/24/2013: If any opponent has no land cards in his or her library, all the cards from that library will be revealed and put into his or her graveyard.££1/24/2013: The cards will be put into graveyards before the spell you cast to cause the ability to trigger resolves. However, none of those cards will be in a graveyard as you cast that spell, so they can't be chosen as a target of that spell.||Consuming Aberration's power and toughness are each equal to the number of cards in your opponents' graveyards.£Whenever you cast a spell, each opponent reveals cards from the top of his or her library until he or she reveals a land card, then puts those cards into his or her graveyard.||
Corpsejack Menace|Prerelease Events|PRE|Creature — Fungus|4|4||{2}{B}{G}|4|Vincent Proce|#_Weakness is not in the nature of the Swarm._#|GB||58|R|£10/1/2012: If a creature you control would enter the battlefield with a number of +1/+1 counters on it, it enters with twice that many instead.££10/1/2012: If you control two <u>Corpsejack Menace</u>s, the number of +1/+1 counters placed is four times the original number. Three <u>Corpsejack Menace</u>s multiplies the original number by eight, and so on.||If one or more +1/+1 counters would be placed on a creature you control, twice that many +1/+1 counters are placed on it instead.||
Demigod of Revenge|Prerelease Events|PRE|Creature — Spirit Avatar|5|4||{BR}{BR}{BR}{BR}{BR}|5|Izzy||RB||36|R|£5/1/2008: This ability triggers when you cast <u>Demigod of Revenge</u> as a spell. It won't trigger if <u>Demigod of Revenge</u> is put directly onto the battlefield.££5/1/2008: The triggered ability will resolve before <u>Demigod of Revenge</u> will.££5/1/2008: If <u>Demigod of Revenge</u> is countered *before* its triggered ability resolves, the ability will still resolve. It will return that <u>Demigod of Revenge</u> from your graveyard to the battlefield, as well as any others. If you're casting a spell to counter <u>Demigod of Revenge</u>, it's important to clarify you're casting it *after* the triggered ability resolves if you don't want that <u>Demigod of Revenge</u> to be put onto the battlefield.||Flying, haste£When you cast Demigod of Revenge, return all cards named Demigod of Revenge from your graveyard to the battlefield.||
Dirtcowl Wurm|Prerelease Events|PRE|Creature — Wurm|3|4||{4}{G}|5|Dan Frazier|#_Few of Rath's rivers follow a steady course, so many new channels are carved for them._#|G||1|R|"£10/4/2004: A spell or ability that tells a player to ""put a land onto the battlefield"" does not count as playing a land."||Whenever an opponent plays a land, put a +1/+1 counter on Dirtcowl Wurm.||
Djinn Illuminatus|Prerelease Events|PRE|Creature — Djinn|3|5||{5}{UR}{UR}|7|Michael Sutfin||UR||28|R|£2/1/2006: If you cast a spell that already has replicate while you have this creature on the battlefield, the spell will have two replicate abilities: one with a replicate cost as printed on it, and one with a replicate cost equal to its mana cost. (In this set, both costs are always the same.) You may use either ability, or both abilities, to replicate the spell.££2/1/2006: If you cast an instant or sorcery spell that has {X} in its mana cost, the value of X in the spell's replicate cost will be the same as the value of X you chose for its mana cost.||#_({U/R} can be paid with either {U} or {R}.)_#£Flying£Each instant and sorcery spell you cast has replicate. The replicate cost is equal to its mana cost. #_(When you cast it, copy it for each time you paid its replicate cost. You may choose new targets for the copies.)_#||
Door of Destinies|Prerelease Events|PRE|Artifact||||{4}|4|Rob Alexander||A||35|R|£4/1/2008: If you cast a creature spell of the chosen type, <u>Door of Destinies</u> will get a charge counter before the creature enters the battlefield. The creature will enter the battlefield with the additional boost to its power and toughness.££7/1/2013: Creature types, such as Human or Sliver, appear after the dash on the type line of creatures. Notably, artifact is not a creature type. A creature may have more than one creature type, such as Goblin Warrior. Such a creature would benefit from <u>Door of Destinies</u> if the chosen creature type was Goblin or Warrior.||As Door of Destinies enters the battlefield, choose a creature type.£Whenever you cast a spell of the chosen type, put a charge counter on Door of Destinies.£Creatures you control of the chosen type get +1/+1 for each charge counter on Door of Destinies.||
Dragon Broodmother|Prerelease Events|PRE|Creature — Dragon|4|4||{2}{R}{R}{R}{G}|6|Jean-Sébastien Rossbach||GR||40|R|£5/1/2009: Putting a token creature with devour onto the battlefield works the same as putting any other creature with devour onto the battlefield. The token may devour <u>Dragon Broodmother</u> itself!££5/1/2009: In a Two-Headed Giant game, <u>Dragon Broodmother</u>'s second ability triggers only once at the beginning of each team's upkeep, not once for each player. You'll get one Dragon token at the beginning of your team's upkeep and one Dragon token at the beginning of the opposing team's upkeep.||Flying£At the beginning of each upkeep, put a 1/1 red and green Dragon creature token with flying and devour 2 onto the battlefield. #_(As the token enters the battlefield, you may sacrifice any number of creatures. It enters the battlefield with twice that many +1/+1 counters on it.)_#||
Ember Swallower|Prerelease Events|PRE|Creature — Elemental|4|5||{2}{R}{R}|4|Vincent Proce||R||71|R|||{5}{R}{R}: Monstrosity 3. #_(If this creature isn't monstrous, put three +1/+1 counters on it and it becomes monstrous.)_#£When Ember Swallower becomes monstrous, each player sacrifices three lands.||
Emrakul, the Aeons Torn|Prerelease Events|PRE|Legendary Creature — Eldrazi|15|15||{15}|15|Justin Sweet||C||44|R|"£6/15/2010: Annihilator abilities trigger and resolve during the declare attackers step. The defending player chooses and sacrifices the required number of permanents before he or she declares blockers. Any creatures sacrificed this way won't be able to block.££6/15/2010: If a creature with annihilator is attacking a planeswalker, and the defending player chooses to sacrifice that planeswalker, the attacking creature continues to attack. It may be blocked. If it isn't blocked, it simply won't deal combat damage to anything.££6/15/2010: In a Two-Headed Giant game, the controller of an attacking creature with annihilator chooses which of the defending players is affected by the ability. Only that player sacrifices permanents. The choice is made as the ability resolves; once a player is chosen, it's too late for anyone to respond.££6/15/2010: Emrakul can be targeted by spells that try to counter it (such as Lay Bare). Those spells will resolve, but the part of their effect that would counter Emrakul won't do anything. Any other effects those spells have will work as normal.££6/15/2010: ""Protection from colored spells"" means that Emrakul can't be the target of colored spells (including colored Aura spells) or of abilities whose sources are colored spells (such as the ""when you cast"" ability of an Ulamog, the Infinite Gyre that's been turned red by Painter's Servant). It also means that all damage that would be dealt to Emrakul by colored spells is prevented. Like every protection ability, it works only while Emrakul is on the battlefield.££6/15/2010: ""Colored spells"" is not synonymous with ""colored instants and sorceries."" For example, if a player cycles Choking Tethers, its triggered ability may target Emrakul because Choking Tethers wasn't cast as a spell.££6/15/2010: Emrakul may be affected by colored spells that don't target it or deal damage to it, including those that cause it to become blocked. Abilities of colored permanents (such as Journey to Nowhere) may target it. Auras may be moved onto it by abilities or by colored spells that don't target it (such as Aura Graft)."||Emrakul, the Aeons Torn can't be countered.£When you cast Emrakul, take an extra turn after this one.£Flying, protection from colored spells, annihilator 6£When Emrakul is put into a graveyard from anywhere, its owner shuffles his or her graveyard into his or her library.||
False Prophet|Prerelease Events|PRE|Creature — Human Cleric|2|2||{2}{W}{W}|4|Eric Peterson|"#_""You lived for Serra's love. Will you not die for it?""_#"|W||7|R|£10/4/2004: <u>False Prophet</u> only exiles creatures, which means only creature permanents which are on the battlefield. It won't exile itself since it is already in the graveyard.||When False Prophet dies, exile all creatures.||
Fathom Mage|Prerelease Events|PRE|Creature — Human Wizard|1|1||{2}{U}{G}|4|Dan Scott||GU||61|R|£1/24/2013: <u>Fathom Mage</u>'s last ability will trigger whenever any +1/+1 counter is placed on it, not just ones due to the evolve ability.££1/24/2013: If multiple +1/+1 counters are placed on <u>Fathom Mage</u> simultaneously, its last ability will trigger once for each of those counters.££1/24/2013: If <u>Fathom Mage</u> enters the battlefield with a +1/+1 counter on it (perhaps due to Master Biomancer), its last ability will trigger once for each +1/+1 counter it entered the battlefield with.££4/15/2013: When comparing the stats of the two creatures for evolve, you always compare power to power and toughness to toughness.££4/15/2013: Whenever a creature enters the battlefield under your control, check its power and toughness against the power and toughness of the creature with evolve. If neither stat of the new creature is greater, evolve won't trigger at all.££4/15/2013: If evolve triggers, the stat comparison will happen again when the ability tries to resolve. If neither stat of the new creature is greater, the ability will do nothing. If the creature that entered the battlefield leaves the battlefield before evolve tries to resolve, use its last known power and toughness to compare the stats.££4/15/2013: If a creature enters the battlefield with +1/+1 counters on it, consider those counters when determining if evolve will trigger. For example, a 1/1 creature that enters the battlefield with two +1/+1 counters on it will cause the evolve ability of a 2/2 creature to trigger.££4/15/2013: If multiple creatures enter the battlefield at the same time, evolve may trigger multiple times, although the stat comparison will take place each time one of those abilities tries to resolve. For example, if you control a 2/2 creature with evolve and two 3/3 creatures enter the battlefield, evolve will trigger twice. The first ability will resolve and put a +1/+1 counter on the creature with evolve. When the second ability tries to resolve, neither the power nor the toughness of the new creature is greater than that of the creature with evolve, so that ability does nothing.££4/15/2013: When comparing the stats as the evolve ability resolves, it's possible that the stat that's greater changes from power to toughness or vice versa. If this happens, the ability will still resolve and you'll put a +1/+1 counter on the creature with evolve. For example, if you control a 2/2 creature with evolve and a 1/3 creature enters the battlefield under your control, it toughness is greater so evolve will trigger. In response, the 1/3 creature gets +2/-2. When the evolve trigger tries to resolve, its power is greater. You'll put a +1/+1 counter on the creature with evolve.||Evolve #_(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)_#£Whenever a +1/+1 counter is placed on Fathom Mage, you may draw a card.||
